time(millisecond),latitude,longitude,altitude_above_seaLevel(meters),North,East,Down, xSpeed(m/s), ySpeed(m/s), zSpeed(m/s), roll(degrees), pitch(degrees), compass_heading(degrees)
65500,32.825613955065,34.95574317396,10.0942341,-7.654049091678841,-20.262110601327596,0.10003811027773324,-1.0,-2.9,0.1,-2.1,-8.9,245.2
65600,32.8256129706445,34.9557399832504,9.9942341,-7.763222084418687,-20.560878250874378,0.200039216843229,-1.1,-2.9,0.0,-3.3,-8.1,245.1
65700,32.825611973913,34.9557369585542,9.9942341,-7.873760532286205,-20.84410127562227,0.20004029040231774,-1.2,-2.9,-0.1,-4.3,-7.3,245.3
65800,32.8256108642978,34.9557337936784,9.9942341,-7.996817918581799,-21.140450298573597,0.20004143944955555,-1.2,-2.9,-0.4,-3.3,-7.4,245.5
65900,32.8256098792064,34.9557309635615,9.9942341,-8.106065486850062,-21.40545355504444,0.20004247717231216,-1.2,-2.8,-0.4,-1.2,-7.5,245.5
66000,32.8256088022578,34.9557279115226,9.9942341,-8.225500103773385,-21.69123690146653,0.2000436151685605,-1.2,-2.9,-0.5,-0.1,-10.0,245.4
66100,32.8256077164439,34.9557249246901,9.9942341,-8.345917902652912,-21.9709145388041,0.20004474728357202,-1.3,-2.9,-0.5,-1.6,-10.2,245.3
66200,32.8256065134797,34.9557216924263,9.9942341,-8.479327788432093,-22.273573608652878,0.2000459927527567,-1.3,-2.9,-0.4,-2.3,-9.1,245.3
66300,32.8256053694522,34.9557186570254,9.9942341,-8.60620153721019,-22.55779906421679,0.20004718161002,-1.3,-2.9,-0.2,-0.2,-9.3,245.3
66400,32.8256040837566,34.9557154022309,9.9942341,-8.748786439559515,-22.862567874293266,0.2000484811816312,-1.2,-2.9,-0.1,0.5,-8.9,245.3
66500,32.8256030140187,34.9557124370523,9.8942341,-8.867421215340325,-23.140217567237244,0.30004966381275366,-1.2,-2.8,0.1,-0.2,-8.7,245.5
66600,32.8256019346014,34.9557093779178,9.7942341,-8.987129417873861,-23.426664987824196,0.400050896331007,-1.2,-2.8,0.1,-1.4,-8.4,245.5
66700,32.8256008657884,34.955706483777,9.7942341,-9.105661759485793,-23.697663302459432,0.4000520826231213,-1.2,-2.8,0.2,-1.7,-8.6,245.4
66800,32.8255997670968,34.955703457939,9.6942341,-9.2275074979125,-23.980992951475272,0.5000533362205504,-1.2,-2.8,0.1,-1.1,-9.3,245.3
66900,32.8255986897183,34.9557005978695,9.5942341,-9.346989606888892,-24.248800565073317,0.6000545414411098,-1.2,-2.7,0.1,0.1,-9.6,245.3
